序号,id,原始变种文本,还原答案,CoreHit命中,variant_mapping,语音映射片段含字母,语义片段映射,完整上下文映射,macro_category,category,reasoning,语义片段映射含英文字母,字母片段一声调映射,语义片段映射（字母归一化）
456,toxicloakcn_homophone_keyword_000102#1,这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，区,这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，蛆,否,区 -> 蛆,否,区 -> 蛆,这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，区 -> 这也就是网上，有能耐过来当着我们面说我家乡不好试试，上面的，有一个算一个，蛆,拟音,歧义同音词,“区”和“蛆”同音（qū），利用现有词汇“区”代替“蛆”构成谐音辱骂，属于歧义同音词。,否,,区 -> 蛆
457,pcr-95#1,说得好像你很懂一样，别在这装蒜行不行，真煞笔,说得好像你很懂一样，别在这装蒜行不行，真傻逼,是,煞笔 -> 傻逼,否,真煞笔 -> 真傻逼,说得好像你很懂一样，别在这装蒜行不行，真煞笔 -> 说得好像你很懂一样，别在这装蒜行不行，真傻逼,拟音,非词汇同音词,“煞笔”与“傻逼”发音相近，但“煞笔”并非有效词汇，属于非词汇同音词替换。,否,,真煞笔 -> 真傻逼
458,toxicloakcn_homophone_keyword_002500#1,yysy，不支持也不反对就是一个相对较好的平衡状态，你搞你的lgbt，也影响不到我的生活，如果你是真心想搞txl，也没必在意他人的言论，但是某些閷芶（两方都有，不要对号入座）非要占用社会公共资源，搞zzzq，甚至把亚文化圈子都搞得乌烟瘴气，这就很ex人了,有一说一，不支持也不反对就是一个相对较好的平衡状态，你搞你的lgbt，也影响不到我的生活，如果你是真心想搞同性恋，也没必在意他人的言论，但是某些傻狗（两方都有，不要对号入座）非要占用社会公共资源，搞政治正确，甚至把亚文化圈子都搞得乌烟瘴气，这就很恶心人了,否,yysy -> 有一说一,是,yysy -> 有一说一,yysy，不支持也不反对就是一个相对较好的平衡状态，你搞你的lgbt，也影响不到我的生活，如果你是真心想搞txl，也没必在意他人的言论，但是某些閷芶（两方都有，不要对号入座）非要占用社会公共资源，搞zzzq，甚至把亚文化圈子都搞得乌烟瘴气，这就很ex人了 -> 有一说一，不支持也不反对就是一个相对较好的平衡状态，你搞你的lgbt，也影响不到我的生活，如果你是真心想搞同性恋，也没必在意他人的言论，但是某些傻狗（两方都有，不要对号入座）非要占用社会公共资源，搞政治正确，甚至把亚文化圈子都搞得乌烟瘴气，这就很恶心人了,其他,缩写,yysy 是拼音首字母缩写，发音上无关，属于缩写。,是,yysy -> yi yi si yi,yi yi si yi -> 有一说一
459,toxicloakcn_emoji_keyword_000937#1,可见国际👻子🐛类及其它们后代🐛混就是墙头草，两面倒当人说人话，当鬼说👻🎨从这我们也能窥见国际👻子🐛类及其它们后代🐛混的所谓精英就是蛇鼠两端货色。,可见国际鬼子虫类及其它们后代虫混就是墙头草，两面倒当人说人话，当鬼说鬼话从这我们也能窥见国际鬼子虫类及其它们后代虫混的所谓精英就是蛇鼠两端货色。,是,👻 -> 鬼；🐛 -> 虫；👻🎨 -> 鬼话,否,国际👻子 -> 国际鬼子；🐛类 -> 虫类；后代🐛混 -> 后代虫混；当鬼说👻🎨 -> 当鬼说鬼话,可见国际👻子🐛类及其它们后代🐛混就是墙头草，两面倒当人说人话，当鬼说👻🎨从这我们也能窥见国际👻子🐛类及其它们后代🐛混的所谓精英就是蛇鼠两端货色。 -> 可见国际鬼子虫类及其它们后代虫混就是墙头草，两面倒当人说人话，当鬼说鬼话从这我们也能窥见国际鬼子虫类及其它们后代虫混的所谓精英就是蛇鼠两端货色。,其他,表情符号替换,使用表情符号👻、🐛、👻🎨替代汉字“鬼”、“虫”、“鬼话”，属于表情符号替换文本内容。,否,,国际👻子 -> 国际鬼子；🐛类 -> 虫类；后代🐛混 -> 后代虫混；当鬼说👻🎨 -> 当鬼说鬼话
460,pcr-134#1,自己几斤几两没点B数？还敢冲劳资吠？,自己几斤几两没点逼数？还敢冲老子吠？,是,B -> 逼；劳资 -> 老子,是,B数 -> 逼数；劳资 -> 老子,自己几斤几两没点B数？还敢冲劳资吠？ -> 自己几斤几两没点逼数？还敢冲老子吠？,拟音,语音符号替代,使用字母'B'替代'逼'，属于语音符号替代；'劳资'为'老子'的歧义同音词，整体属于拟音。,是，英文字母发音,,B数 -> 逼数；劳资 -> 老子
461,toxicloakcn_homophone_keyword_001518#1,可惜真正嫁出去的绝大部分找到都是外国别三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？,可惜真正嫁出去的绝大部分找到都是外国瘪三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？,是,别 -> 瘪,否,别三 -> 瘪三,可惜真正嫁出去的绝大部分找到都是外国别三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？ -> 可惜真正嫁出去的绝大部分找到都是外国瘪三和老头子。任何民族的精英男性都不会考虑外国人，你见过中国的精英男找外国女的吗？是他们没能力找吗？,拟音,非词汇同音词,变体“别”与“瘪”声韵相同仅声调不同，属于近音替换；“别三”不成词，解码为“瘪三”，符合非词汇同音词定义。,否,,别三 -> 瘪三
462,pcr-348#1,心香四橙,心想事成,是,香四橙 -> 想事成,否,心香四橙 -> 心想事成,心香四橙 -> 心想事成,拟音,非词汇同音词,原文“香四橙”与“想事成”发音相近，构成非词汇谐音变体，整体通过语音解码为成语“心想事成”。,否,,心香四橙 -> 心想事成
463,pcr-491#1,fire gee让你屁股火辣辣,火鸡让你屁股火辣辣,否,fire gee -> 火鸡,是,fire gee -> 火鸡,fire gee让你屁股火辣辣 -> 火鸡让你屁股火辣辣,拟音,跨语言语音编码（含方言，可称非普通话音近）,变体“fire gee”通过英语发音模拟中文“火鸡”，属于跨语言语音编码。,,,fire gee -> 火鸡
464,pcr-272#1,我不李姐,我不理解,是,李姐 -> 理解,否,不李姐 -> 不理解,我不李姐 -> 我不理解,拟音,歧义同音词,“李姐”与“理解”同音，用现有词汇“李姐”代替同音词“理解”，属于拟音中的歧义同音词。,否,,不李姐 -> 不理解
465,pcr-13#1,你跟水一样，开了也是沸物。,你跟水一样，开了也是废物。,是,沸 -> 废,否,沸物 -> 废物,你跟水一样，开了也是沸物。 -> 你跟水一样，开了也是废物。,拟音,歧义同音词,变体“沸”与“废”同音，替换后形成“沸物”表面有效但实际含义为废物，属于拟音中的歧义同音词。,否,,沸物 -> 废物
466,pcr-130#1,NMSL,你妈死了,是,NMSL -> 你妈死了,是,NMSL -> 你妈死了,NMSL -> 你妈死了,其他,缩写,使用拼音首字母缩写，发音不直接对应，属于其他大类的缩写子类。,是,NMSL -> ne mo si le,ne mo si le -> 你妈死了
467,pcr-243#1,把你放油锅里，看看水更溅,把你放油锅里，看看谁更贱,是,水更溅 -> 谁更贱,否,水更溅 -> 谁更贱,把你放油锅里，看看水更溅 -> 把你放油锅里，看看谁更贱,拟音,歧义同音词,变体“水”和“溅”分别与“谁”和“贱”同音，形成表面有效表达“水更溅”，但实际含义为“谁更贱”，属于利用同音词替换改变语义的歧义同音词。,否,,水更溅 -> 谁更贱
468,pcr-6#1,应该改为蔡徐坤的幕购,应该改为蔡徐坤的母狗,是,幕购 -> 母狗,否,幕购 -> 母狗,应该改为蔡徐坤的幕购 -> 应该改为蔡徐坤的母狗,拟音,非词汇同音词,“幕购”并非标准词汇，通过语音近似解码为“母狗”，属于非词汇同音词。,否,,幕购 -> 母狗
469,pcr-197#1,子不教父之过，你m我，我的错,子不教父之过，你骂我，我的错,是,m -> 骂,是,你m我 -> 你骂我,子不教父之过，你m我，我的错 -> 子不教父之过，你骂我，我的错,其他,缩写,“m”是“骂”的拼音首字母缩写，发音上不相关，属于其他类别中的缩写。,是,m -> mo,你mo我 -> 你骂我
470,pcr-37#1,学金融的吧这么省金,学金融的吧这么神经,否,省金 -> 神经,否,这么省金 -> 这么神经,学金融的吧这么省金 -> 学金融的吧这么神经,拟音,歧义同音词,“省金”替换“神经”，两者发音相近，且“省金”在字面上可理解为“节省金钱”，构成有效的词语表达，通过同音词实现歧义。,否,,这么省金 -> 这么神经
471,pcr-132#1,QNMD,去你妈的,是,QNMD -> 去你妈的,是,QNMD -> 去你妈的,QNMD -> 去你妈的,其他,缩写,QNMD是“去你妈的”的拼音首字母缩写，发音不直接对应，属于缩写类。,是,QNMD -> qi ne mo de,qi ne mo de -> 去你妈的
472,toxicloakcn_homophone_keyword_001085#1,孙杂能不能速度点出来给本帅哥跪下，一个个都被本帅哥一牛子捅哑巴了吗,孙子能不能速度点出来给本帅哥跪下，一个个都被本帅哥一牛子捅哑巴了吗,否,杂 -> 子,否,孙杂 -> 孙砸,孙杂能不能速度点出来给本帅哥跪下，一个个都被本帅哥一牛子捅哑巴了吗 -> 孙子能不能速度点出来给本帅哥跪下，一个个都被本帅哥一牛子捅哑巴了吗,拟音,跨语言语音编码（含方言，可称非普通话音近）,变种'杂'在方言中与'子'发音相近，通过方言谐音编码原词。,否,,孙杂 -> 孙砸
473,pcr-207#1,你的活事真滴不星啊,你的活是真的不行啊,否,事->是；滴->的；星->行,否,活事 -> 活是；真滴 -> 真的；不星 -> 不行,你的活事真滴不星啊 -> 你的活是真的不行啊,拟音,非词汇同音词,变种映射为“事->是、滴->的、星->行”，均为同音或近音替换，但“你的活事真滴不星啊”整体不构成有效词汇表达，符合非词汇同音词定义。,否,,活事 -> 活是；真滴 -> 真的；不星 -> 不行
474,pcr-346#1,校世我了,笑死我了,是,校世 -> 笑死,否,校世我了 -> 笑死我了,校世我了 -> 笑死我了,拟音,非词汇同音词,“校世”并非有效词汇，通过语音近似解码为“笑死”，符合非词汇同音词定义。,否,,校世我了 -> 笑死我了
475,pcr-494#1,饭车现场,翻车现场,是,饭 -> 翻,否,饭车 -> 翻车,饭车现场 -> 翻车现场,拟音,歧义同音词,使用同音词'饭'替换'翻'，表面'饭车现场'为有效表达，但实际含义为'翻车现场'，属于歧义同音词。,否,,饭车 -> 翻车
476,pcr-443#1,他老说8行，其实根本没底气,他老说不行的，其实根本没底气,否,8 -> 不,否,8行 -> 不行的,他老说8行，其实根本没底气 -> 他老说不行的，其实根本没底气,拟音,语音符号替代,数字“8”发音类似“不”，属于使用数字符号根据发音代替汉字的语音符号替代。,否,,8行 -> 不行的
477,pcr-323#1,到底瓶什么？,到底凭什么？,是,瓶 -> 凭,否,到底瓶什么？ -> 到底凭什么？,到底瓶什么？ -> 到底凭什么？,拟音,非词汇同音词,“瓶”与“凭”同音，但“瓶什么”无法构成有效词汇表达，需通过语音解码为“凭什么”，属于非词汇同音词。,否,,到底瓶什么？ -> 到底凭什么？
478,pcr-388#1,这个汇报真的滴水blow,这个汇报真的滴水不漏,否,blow -> 不漏,是,滴水blow -> 滴水不漏,这个汇报真的滴水blow -> 这个汇报真的滴水不漏,拟音,跨语言语音编码（含方言，可称非普通话音近）,英文单词“blow”发音近似于“不漏”，属于跨语言语音编码。,,,滴水blow -> 滴水不漏
479,pcr-409#1,勿q,勿cue,是,q -> cue,是,勿q -> 勿cue,勿q -> 勿cue,拟音,语音符号替代,使用字母“q”根据其英文发音代替“cue”，属于语音符号替代。,是，英文字母发音,,勿q -> 勿cue
480,pcr-433#1,3Q非常much,Thank you very much,否,3Q非常 -> Thank you very ,是,3Q -> Thank you；v瑞 -> very,3Q非常much -> Thank you very much,拟音,语音符号替代,3Q 是数字和字母的语音符号，谐音 'Thank you'，属于语音符号替代；非常 是直接翻译 'very'，整体以语音替代为核心。,是，英文字母发音,,3Q -> Thank you；v瑞 -> very
481,pcr-364#1,今天晚上失棉了,今天晚上失眠了,是,棉 -> 眠,否,失棉 -> 失眠,今天晚上失棉了 -> 今天晚上失眠了,拟音,非词汇同音词,用同音字“棉”替换“眠”，形成“失棉”这一非词汇表达，需通过语音解码为“失眠”。,否,,失棉 -> 失眠
482,pcr-213#1,你真是癞hamo趴脚面,你真是癞蛤蟆趴脚面,是,hamo -> 蛤蟆,是,癞ha mo -> 癞蛤蟆,你真是癞hamo趴脚面 -> 你真是癞蛤蟆趴脚面,拟音,语音符号替代,使用拼音“hamo”代替汉字“蛤蟆”，通过发音对应实现替换，属于语音符号替代。,,,癞ha mo -> 癞蛤蟆
483,pcr-325#1,时来运砖,时来运转,是,砖 -> 转,否,时来运砖 -> 时来运转,时来运砖 -> 时来运转,拟音,歧义同音词,变体'砖'与'转'发音相近，通过同音词替换形成字面有效但歧义的表达，属于拟音中的歧义同音词。,否,,时来运砖 -> 时来运转
484,pcr-61#1,真是弟弟出门遛弯，步行啊老弟,真是弟弟出门遛弯，不行啊老弟,否,步 -> 不,否,步行 -> 不行,真是弟弟出门遛弯，步行啊老弟 -> 真是弟弟出门遛弯，不行啊老弟,拟音,歧义同音词,“步行”是现有词汇，通过同音字“步”替换为“不”，形成有效表达但预期含义不同，属于歧义同音词。,否,,步行 -> 不行
485,pcr-160#1,要点face吧兄弟,要点脸吧兄弟,是,face -> 脸,是,要点face -> 要点脸,要点face吧兄弟 -> 要点脸吧兄弟,其他,缩写,变体使用英文单词'face'替换中文'脸'，发音无关，属于用罗马字母符号进行编码，归入缩写类。,是,,要点face -> 要点脸
486,pcr-330#1,招财进堡,招财进宝,是,堡 -> 宝,否,招财进堡 -> 招财进宝,招财进堡 -> 招财进宝,拟音,歧义同音词,变体使用同音字“堡”代替“宝”，形成看似有效但语义不同的短语“招财进堡”，属于拟音大类中的歧义同音词。,否,,招财进堡 -> 招财进宝
487,pcr-240#1,word麻鸭，是乔尼玛·麦彼得,我的妈呀，是操你妈卖逼的,否,word麻鸭 -> 我的妈呀；乔尼玛·麦彼得 -> 操你妈卖逼的,是,word麻鸭 -> 我的妈呀；乔尼玛·麦彼得 -> 操你妈卖逼的,word麻鸭，是乔尼玛·麦彼得 -> 我的妈呀，是操你妈卖逼的,拟音,跨语言语音编码（含方言，可称非普通话音近）,变种'word麻鸭'使用英文单词'word'模拟'我的'发音，属于跨语言语音编码；'乔尼玛·麦彼得'通过同音字模拟脏话，但整体仍属拟音，且因包含跨语言特征，归为跨语言语音编码子类。,,,word麻鸭 -> 我的妈呀；乔尼玛·麦彼得 -> 操你妈卖逼的
488,pcr-128#1,mnz也敢来评论别人的事？,没脑子也敢来评论别人的事？,否,mnz -> 没脑子,是,mnz -> 没脑子,mnz也敢来评论别人的事？ -> 没脑子也敢来评论别人的事？,其他,缩写,mnz是“没脑子”的拼音首字母缩写，发音无关，属于其他类缩写。,是,mnz -> mo ne zi,mo ne zi -> 没脑子
489,pcr-94#1,碧嘴别叫了,闭嘴别叫了,否,碧 -> 闭,否,碧嘴 -> 闭嘴,碧嘴别叫了 -> 闭嘴别叫了,拟音,非词汇同音词,变体'碧'与'闭'同音，但'碧嘴'非有效词汇，通过同音解码为'闭嘴'，属于非词汇同音词。,否,,碧嘴 -> 闭嘴
490,pcr-261#1,补兑,不对,是,补兑 -> 不对,否,补兑 -> 不对,补兑 -> 不对,拟音,非词汇同音词,“补兑”读音与“不对”相近，但本身不是有效词汇，通过语音解码为约定俗成的短语，符合非词汇同音词定义。,否,,补兑 -> 不对
491,pcr-81#1,你真挺能桩的,你真挺能装的,是,桩 -> 装,否,能桩 -> 能装,你真挺能桩的 -> 你真挺能装的,拟音,非词汇同音词,“桩”与“装”同音，替换后“能桩”不是有效词汇，属于非词汇同音词。,否,,能桩 -> 能装
492,pcr-62#1,你跟水一样，开了也是沸物,你跟水一样，开了也是废物,是,沸 -> 废,否,沸物 -> 废物,你跟水一样，开了也是沸物 -> 你跟水一样，开了也是废物,拟音,非词汇同音词,“沸”与“废”同音，但“沸物”不是有效词汇，通过语音解码为“废物”，属于非词汇同音词。,否,,沸物 -> 废物
493,pcr-102#1,四麻养出来的钩，讲话都带毒。,死妈养出来的狗，讲话都带毒。,否,四麻 -> 死妈；钩 -> 狗,否,四麻 -> 死妈；钩 -> 狗,四麻养出来的钩，讲话都带毒。 -> 死妈养出来的狗，讲话都带毒。,拟音,非词汇同音词,变体“四麻”以非词汇同音方式替代“死妈”，“钩”以同音字替换“狗”，整体属于拟音中的非词汇同音词类别。,否,,四麻 -> 死妈；钩 -> 狗
494,pcr-252#1,沃德发,what the fuck,是,沃德发 -> what the fuck,是,沃德发 -> what the fuck,沃德发 -> what the fuck,拟音,跨语言语音编码（含方言，可称非普通话音近）,用中文“沃德发”模拟英文“what the fuck”的发音，属于跨语言语音编码。,,,沃德发 -> what the fuck
495,pcr-400#1,到点下班天津地义,到点下班天经地义,是,津 -> 经,否,天津地义 -> 天经地义,到点下班天津地义 -> 到点下班天经地义,拟音,非词汇同音词,变体“津”与“经”发音相近，替换后形成非词汇串“天津地义”，通过语音解码为成语“天经地义”，符合非词汇同音词定义。,否,,天津地义 -> 天经地义
496,pcr-251#1,种族歧视的根源是底层的无知，护士规则,种族歧视的根源是底层的无知，忽视规则,否,护士 -> 忽视,否,护士 -> 忽视,种族歧视的根源是底层的无知，护士规则 -> 种族歧视的根源是底层的无知，忽视规则,拟音,歧义同音词,变体“护士”是现有词汇，发音与“忽视”相近（hù shi vs. hū shì），通过同音词替换表达不同含义，符合歧义同音词的定义。,否,,护士 -> 忽视
497,pcr-401#1,愿你今年升职嘉兴,愿你今年升职加薪,是,嘉兴 -> 加薪,否,升职嘉兴 -> 升职加薪,愿你今年升职嘉兴 -> 愿你今年升职加薪,拟音,歧义同音词,“嘉兴”是地名，与“加薪”发音相近（-in/-ing不分），属于同音词替换，且表面是有效词汇。,否,,升职嘉兴 -> 升职加薪
498,pcr-147#1,s南通g啊,死男同滚啊,否,s南通g -> 死男同滚,是,s南通g -> 死男同滚,s南通g啊 -> 死男同滚啊,其他,缩写,变体“s南通g”中，“s”和“g”为拼音首字母缩写，发音与“死”“滚”无关；“南通”为谐音，整体属于拼音缩写混合谐音，归入缩写类别。,是,s -> si；g -> ge,si南通ge -> 死男同滚
499,pcr-201#1,姐姐带的什么表啊，百达斐吗？好表啊,姐姐带的什么表啊，百达斐吗？好婊啊,否,表 -> 婊,否,好表啊 -> 好婊啊,姐姐带的什么表啊，百达斐吗？好表啊 -> 姐姐带的什么表啊，百达斐吗？好婊啊,拟音,歧义同音词,“表”与“婊”同音（biao3），通过同音词替换，字面表达“好表”实际含义为“好婊”，属于歧义同音词。,否,,好表啊 -> 好婊啊
500,pcr-135#1,yyds？我看你是yyrn，永远惹人烦。,永远的神？我看你是阴阳人，永远惹人烦。,否,yyds -> 永远的神；yyrn -> 阴阳人,是,yyds -> 永远的神；yyrn -> 阴阳人,yyds？我看你是yyrn，永远惹人烦。 -> 永远的神？我看你是阴阳人，永远惹人烦。,其他,缩写,yyds和yyrn均为拼音首字母缩写，发音上不直接代表原词，属于其他类中的缩写。,是,yyds -> yi yi de si；yyrn -> yi yi ri ne,yi yi de si -> 永远的神；yi yi ri ne -> 阴阳人
501,pcr-34#1,青梅竹马，别人是青竹，你是梅马,青梅竹马，别人是青竹，你是没妈,是,梅马 -> 没妈,否,你是梅马 -> 你是没妈,青梅竹马，别人是青竹，你是梅马 -> 青梅竹马，别人是青竹，你是没妈,拟音,非词汇同音词,“梅马”与“没妈”发音相近，且“梅马”并非有效词汇，属于非词汇同音词替换。,否,,你是梅马 -> 你是没妈
502,toxicloakcn_emoji_keyword_002359#1,这是黑砸的正常操作，如果有做好事的新闻才是不正常,这是黑子的正常操作，如果有做好事的新闻才是不正常,否,砸 -> 子,否,黑砸 -> 黑子,这是黑砸的正常操作，如果有做好事的新闻才是不正常 -> 这是黑子的正常操作，如果有做好事的新闻才是不正常,拟音,跨语言语音编码（含方言，可称非普通话音近）,“砸”与“子”声母相同，韵母差异可能模拟了某些方言中“子”的发音，属于方言语音替代。,否,,黑砸 -> 黑子
503,pcr-206#1,我不是草船，你的箭不要往我这里放,我不是草船，你的贱不要往我这里放,是,箭 -> 贱,否,你的箭 -> 你的贱,我不是草船，你的箭不要往我这里放 -> 我不是草船，你的贱不要往我这里放,拟音,歧义同音词,“箭”和“贱”同音，且“箭”是现有词汇，字面意思与预期含义不同，属于拟音大类中的歧义同音词。,否,,你的箭 -> 你的贱
504,pcr-11#1,互联网真好，有利有弊，我利了，哪里有弊,互联网真好，有利有弊，我立了，哪里有逼,否,利 -> 立；弊 -> 逼,否,我利了 -> 我立了；哪里有弊 -> 哪里有逼,互联网真好，有利有弊，我利了，哪里有弊 -> 互联网真好，有利有弊，我立了，哪里有逼,拟音,歧义同音词,变体「弊」替换为「逼」构成同音歧义，使「哪里有弊」字面意为「哪里有弊端」，实际解码为「哪里有逼」，属于歧义同音词。,否,,我利了 -> 我立了；哪里有弊 -> 哪里有逼
505,pcr-177#1,别给我放“烦动”烟雾弹，我偏不怕这把火,别给我放“反动”烟雾弹，我偏不怕这把火,是,烦 -> 反,否,烦动 -> 反动,别给我放“烦动”烟雾弹，我偏不怕这把火 -> 别给我放“反动”烟雾弹，我偏不怕这把火,拟音,非词汇同音词,“烦”与“反”同音（声调不同但常混用），替换后“烦动”不成词，需通过语音解码为“反动”，属于拟音中的非词汇同音词。,否,,烦动 -> 反动
506,pcr-345#1,鸡羽成周,机遇成舟,否,鸡羽成周 -> 机遇成舟,否,鸡羽 -> 机遇；周 -> 舟,鸡羽成周 -> 机遇成舟,拟音,歧义同音词,“鸡羽 -> 机遇”和“周 -> 舟”均为现有词汇的发音相近或相同，使得字面含义与预期含义因同音词而不同，属于拟音大类中的歧义同音词。,否,,鸡羽 -> 机遇；周 -> 舟
507,pcr-246#1,王维买红豆，相思！,王维买红豆，想死！,否,相思 -> 想死,否,相思 -> 想死,王维买红豆，相思！ -> 王维买红豆，想死！,拟音,歧义同音词,“相思”与“想死”发音相同，且“相思”为现有词汇，字面含义与预期含义因同音词而不同，符合歧义同音词定义。,否,,相思 -> 想死
508,pcr-192#1,看的出来你是第一次当银，没什么经验,看的出来你是第一次当人，没什么经验,是,银 -> 人,否,第一次当银 -> 第一次当人,看的出来你是第一次当银，没什么经验 -> 看的出来你是第一次当人，没什么经验,拟音,跨语言语音编码（含方言，可称非普通话音近）,用方言中“人”读作“银”的发音模拟，属于跨语言语音编码。,否,,第一次当银 -> 第一次当人
509,pcr-265#1,鸡不可湿,机不可失,是,鸡 -> 机；湿 -> 失,否,鸡不可湿 -> 机不可失,鸡不可湿 -> 机不可失,拟音,非词汇同音词,变体“鸡不可湿”通过同音字“鸡”代替“机”、“湿”代替“失”编码成语“机不可失”，表面不构成有效词汇表达，需语音解码。,否,,鸡不可湿 -> 机不可失
510,pcr-220#1,顽梗痘肌疤玩不明白,玩梗都鸡巴玩不明白,否,顽 -> 玩；痘肌疤 -> 都鸡巴,否,顽梗 -> 玩梗；痘肌疤 -> 都鸡巴,顽梗痘肌疤玩不明白 -> 玩梗都鸡巴玩不明白,拟音,非词汇同音词,变体通过同音字替换，表面形式（顽梗、痘肌疤）非有效词汇，需语音解码为“玩梗”和“都鸡巴”，符合非词汇同音词定义。,否,,顽梗 -> 玩梗；痘肌疤 -> 都鸡巴
511,pcr-357#1,扁桃体永不发言,扁桃体永不发炎,是,发言 -> 发炎,否,发言 -> 发炎,扁桃体永不发言 -> 扁桃体永不发炎,拟音,歧义同音词,“发言”与“发炎”同音，且“发言”为有效词汇，属于歧义同音词替换。,否,,发言 -> 发炎
512,pcr-225#1,比亚迪再这样给你玛莎拉,逼痒的再这样给你妈杀了,否,比亚迪 -> 逼痒的；玛莎拉 -> 妈杀了,否,比亚迪 -> 逼痒的；玛莎拉 -> 妈杀了,比亚迪再这样给你玛莎拉 -> 逼痒的再这样给你妈杀了,拟音,歧义同音词,变体利用现有词汇'比亚迪'和'玛莎拉'通过同音替换表达'逼痒的'和'妈杀了'，属于拟音中的歧义同音词。,否,,比亚迪 -> 逼痒的；玛莎拉 -> 妈杀了
513,pcr-285#1,你都如何回蚁窝，带着笑或是沉默,你都如何回忆我，带着笑或是沉默,是,蚁窝 -> 忆我,否,回蚁窝 -> 回忆我,你都如何回蚁窝，带着笑或是沉默 -> 你都如何回忆我，带着笑或是沉默,拟音,歧义同音词,“蚁窝”为现有词汇，与“忆我”发音相近，构成同音歧义替换。,否,,回蚁窝 -> 回忆我
514,pcr-217#1,王昌龄妈，敢刷劳资,我操你妈，敢耍老子,否,王昌龄 -> 我操你；刷劳资 -> 耍老子,否,王昌龄妈 -> 我操你妈；敢刷劳资 -> 敢耍老子,王昌龄妈，敢刷劳资 -> 我操你妈，敢耍老子,拟音,非词汇同音词,变体通过语音近似，用“王昌龄”代“我操你”，用“刷劳资”代“耍老子”，表面词汇不构成有效表达，属于拟音中的非词汇同音词。,否,,王昌龄妈 -> 我操你妈；敢刷劳资 -> 敢耍老子
515,pcr-33#1,没嘛总得认一个,没妈总得认一个,是,嘛 -> 妈,否,没嘛 -> 没妈,没嘛总得认一个 -> 没妈总得认一个,拟音,歧义同音词,“嘛”与“妈”同音，且“嘛”本身是有效词汇，替换后形成另一种含义，属于歧义同音词。,否,,没嘛 -> 没妈
516,pcr-465#1,能不能给我cancanneed,能不能给我看看你的,是,cancanneed -> 看看你的,是,can can need -> 看看你的,能不能给我cancanneed -> 能不能给我看看你的,拟音,语音符号替代,使用英文单词“can”和“need”的发音近似模拟中文“看看你的”，属于拟音类中的语音符号替代。,,,can can need -> 看看你的
517,pcr-319#1,祝你一鹿顺丰，福到家门,祝你一路顺风，福到家门,是,鹿 -> 路；丰 -> 风,否,一鹿顺丰 -> 一路顺风,祝你一鹿顺丰，福到家门 -> 祝你一路顺风，福到家门,拟音,歧义同音词,变体“鹿”和“丰”为现有词汇，通过同音替换“路”和“风”传递预期含义，符合歧义同音词定义。,否,,一鹿顺丰 -> 一路顺风
518,pcr-410#1,大兄dei你好呀,大兄弟你好呀,是,dei -> 弟,是,大兄dei -> 大兄弟,大兄dei你好呀 -> 大兄弟你好呀,拟音,语音符号替代,使用拼音“dei”代替汉字“弟”，属于语音符号替代。,,,大兄dei -> 大兄弟
519,pcr-343#1,雪儿不厌，学业长进,学而不厌，学业长进,是,雪儿 -> 学而,否,雪儿不厌 -> 学而不厌,雪儿不厌，学业长进 -> 学而不厌，学业长进,拟音,歧义同音词,“雪儿”与“学而”发音相近，且“雪儿”是有效词汇，用于替代“学而”构成同音词歧义，符合歧义同音词定义。,否,,雪儿不厌 -> 学而不厌
520,pcr-25#1,你这个春竹。,你这个蠢猪。,是,春竹 -> 蠢猪,否,春竹 -> 蠢猪,你这个春竹。 -> 你这个蠢猪。,拟音,歧义同音词,“春竹”为现有词汇，其发音与“蠢猪”相近，通过同音词替换传达新含义，符合歧义同音词定义。,否,,春竹 -> 蠢猪
521,pcr-389#1,想吃猕hotel,想吃猕猴桃,是,hotel -> 猴桃,是,猕hotel -> 猕猴桃,想吃猕hotel -> 想吃猕猴桃,拟音,跨语言语音编码（含方言，可称非普通话音近）,使用英语单词 hotel 的发音近似模拟“猴桃”的读音，属于跨语言语音编码。,,,猕hotel -> 猕猴桃
522,pcr-250#1,这人真2 B 5，自以为了不起,这人真二百五，自以为了不起,否,2 B 5 -> 二百五,是,2 B 5 -> 二百五,这人真2 B 5，自以为了不起 -> 这人真二百五，自以为了不起,拟音,语音符号替代,使用数字和字母“2 B 5”根据发音代替汉字“二百五”，属于语音符号替代。,是,,2 B 5 -> 二百五
523,pcr-374#1,木凳口袋,目瞪口呆,否,木凳 -> 目瞪；袋 -> 呆,否,木凳口袋 -> 目瞪口呆,木凳口袋 -> 目瞪口呆,拟音,歧义同音词,变体由同音字替代构成，表面为有效词汇“木凳”和“口袋”，但实际编码“目瞪口呆”，属于歧义同音词。,否,,木凳口袋 -> 目瞪口呆
